id	category	title	abstract
N38	6	[10763, 0, 17631, 351, 8263, 14775, 0, 47, 0, 823, 9829, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[56, 14775, 0, 1545, 117, 862, 1455, 520, 2638, 603, 522, 47, 0, 5, 47, 5917, 8, 4127, 3595, 40937, 1, 4100, 5449, 22, 1, 0, 14775, 224, 1, 1107, 14775, 47, 3595, 1430, 731, 5, 8, 1, 12195, 1430, 2558, 22, 8528, 299, 6331, 16, 1, 10616, 42, 1, 1565, 224, 41492, 5497, 64, 56, 547, 42, 0, 47, 5917, 3595, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N39	6	[377, 4352, 5, 24574, 12229, 5509, 8, 8223, 5, 377, 381, 672, 281, 237, 10750, 1, 566, 2078, 381, 381]	[377, 368, 400, 486, 4352, 179, 117, 1, 27723, 520, 2638, 603, 522, 502, 1, 10138, 5509, 8, 8704, 0, 5, 8422, 5, 377, 381, 672, 281, 514, 121, 122, 64, 10750, 1, 7133, 42, 1, 566, 2078, 1343, 771, 381, 381, 400, 4352, 179, 60, 1, 2261, 867, 16, 174, 5, 377, 381, 2090, 1277, 5, 1288, 68135, 5, 2867, 5, 8, 6057, 4641, 32, 1403, 1801, 1646, 16, 194, 167, 240, 1210, 236, 381, 381, 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N40	6	[377, 10326, 0, 5, 353, 2236, 456, 47, 1, 903, 904, 238, 377, 381, 3835, 18105, 1148, 381, 381, 381]	[1784, 8560, 18738, 64, 56, 3827, 47, 10388, 1982, 4549, 2004, 28109, 5497, 64, 1, 13615, 42, 51561, 297, 11, 10328, 191, 1672, 2714, 22, 169, 56, 1688, 5, 1242, 9513, 32, 9000, 8, 1242, 17227, 42, 10388, 1186, 32, 5481, 9484, 22, 133, 280, 1128, 64, 6946, 1269, 5, 76, 9513, 1672, 1869, 64, 0, 4131, 1391, 6622, 8, 26872, 5531, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N41	6	[587, 5438, 1452, 1616, 37, 8930, 32866, 8, 12204, 238, 0, 928, 47, 1890, 0, 24530, 389, 17492, 0, 0]	[1, 587, 1780, 67, 22072, 1505, 27615, 42, 232, 13371, 1, 8362, 42, 1452, 1616, 493, 1, 2059, 42, 1890, 4667, 8, 7201, 22, 1890, 0, 24530, 389, 224, 56, 1397, 42, 565, 2533, 2185, 24028, 5, 107, 90, 1890, 4667, 44, 31087, 23198, 0, 5, 108, 32, 405, 17750, 1927, 42, 15724, 4163, 16, 7201, 224, 56, 10512, 2395, 42, 1, 2533, 2185, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N42	6	[56, 4632, 1383, 6287, 47, 1, 0, 14460, 238, 0, 4282, 111, 1618, 0, 0, 0, 0, 0, 0, 0]	[60, 1, 0, 641, 324, 7348, 42, 1, 591, 0, 5400, 0, 92, 1143, 60, 1, 0, 0, 892, 47, 5498, 5, 4282, 5, 56, 0, 3431, 12007, 1780, 71, 42, 379, 38830, 15693, 1, 7646, 42, 1, 603, 66, 10039, 64, 1, 1505, 26, 1, 116, 603, 22, 60, 1, 1367, 42, 1, 116, 3974, 42, 133, 14460, 5, 353, 66, 1894, 11, 0, 0, 5, 56, 2552, 28954, 42, 746, 60, 0, 5786, 5, 1, 1169, 42, 1, 9317, 42, 29037, 224, 25514, 24539, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N43	6	[2323, 1894, 56, 405, 3203, 236, 0, 44, 2304, 238, 10161, 0, 8118, 42, 47822, 1190, 0, 413, 1354, 2323]	[26263, 0, 5, 1774, 42, 1, 10586, 1609, 5, 56, 3168, 0, 300, 5, 168, 47, 56, 4410, 1404, 22, 56, 2323, 66, 1894, 7215, 1, 1190, 42, 67, 47822, 3203, 236, 807, 2304, 22, 0, 44, 10586, 2444, 7507, 26, 7201, 47, 1, 50, 47, 49, 5, 107, 1398, 67, 50565, 132, 1, 3168, 19581, 42, 4779, 47, 1214, 6266, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N44	6	[377, 43726, 377, 381, 368, 3759, 14534, 11673, 18787, 18619, 64, 1, 2470, 1891, 381, 381, 381, 0, 0, 0]	[377, 43726, 44, 14991, 23025, 10599, 2444, 520, 60531, 522, 224, 56, 785, 4726, 47, 2859, 56, 1242, 6500, 5835, 520, 0, 522, 26, 0, 11673, 2097, 169, 0, 22, 43726, 15697, 133, 95, 47, 304, 1817, 1692, 5843, 197, 11913, 64, 1, 5466, 8, 8362, 3735, 520, 11571, 522, 43726, 179, 5, 377, 381, 169, 56, 1688, 5, 84, 257, 5966, 9295, 1336, 64, 3824, 16, 32, 230, 6242, 64, 14180, 15081, 381, 381, 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N45	6	[377, 7201, 44, 116, 1969, 18318, 1018, 238, 377, 381, 738, 42, 0, 8701, 381, 381, 381, 0, 0, 0]	[7201, 44, 116, 1969, 18318, 9874, 257, 138, 1018, 60, 1, 21750, 15716, 22, 1, 2114, 18318, 66, 1018, 493, 0, 351, 520, 762, 522, 8, 0, 351, 520, 3004, 522, 36155, 3302, 5992, 26, 9103, 60, 1, 427, 42, 1592, 64, 499, 5, 107, 35144, 8, 0, 3615, 4684, 64, 3801, 60, 1, 4632, 427, 42, 2001, 8, 658, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N46	6	[22618, 587, 10027, 672, 22, 1552, 5, 33357, 26, 1455, 7268, 1207, 7076, 5, 427, 1590, 779, 47, 3652, 0]	[3625, 6461, 10986, 3195, 13852, 8739, 520, 18674, 522, 588, 15641, 26, 502, 1455, 7268, 1207, 56, 449, 5228, 1143, 47, 34616, 5, 4673, 5, 56, 26137, 117, 1, 27723, 520, 2638, 603, 522, 5, 8, 3205, 1717, 22, 8739, 66, 6504, 26, 56, 1318, 784, 583, 60, 56, 6430, 28541, 2585, 60, 56, 1971, 47, 376, 5, 7413, 5, 47, 5423, 22, 10027, 5549, 13948, 520, 9321, 522, 66, 12582, 784, 92, 12496, 76, 32507, 47, 2421, 8, 66, 5579, 64, 262, 26, 502, 160, 561, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N47	5	[169, 291, 169, 309, 19797, 5233, 2503, 238, 490, 5492, 10136, 209, 541, 117, 141, 14935, 0, 0, 0, 0]	[29108, 11, 490, 2585, 351, 64, 121, 1143, 47, 254, 1013, 5, 6799, 117, 141, 592, 60, 0, 520, 2638, 603, 522, 1, 2585, 514, 121, 2410, 20, 323, 10362, 8, 1, 490, 268, 1706, 22, 490, 44, 3897, 64, 121, 1894, 133, 603, 32, 1, 0, 209, 1592, 351, 547, 5, 1, 936, 970, 0, 970, 351, 8, 0, 14841, 56, 547, 351, 1, 10136, 209, 1592, 547, 224, 15234, 76, 490, 44, 0, 68749, 4300, 22, 84, 224, 64418, 16, 1681, 257, 8821, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
